,price,accommodates,beds,bathrooms,number_of_reviews,rating,superhost,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
0,49.0,2,1.0,1.0,554,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,51.0,2,2.0,1.0,134,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,47.0,2,1.0,1.0,220,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,53.0,2,2.0,1.0,78,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,33.0,2,1.0,1.0,33,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,39.0,5,3.0,2.0,125,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,50.0,6,3.0,1.0,183,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,42.0,3,1.0,1.0,86,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,34.0,4,2.0,1.0,262,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,49.0,4,2.0,1.0,100,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,31.0,2,1.0,1.0,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,38.0,2,1.0,1.0,59,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,49.0,3,3.0,2.0,107,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,40.0,1,1.0,1.0,90,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,50.0,1,1.0,1.0,17,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,49.0,2,1.0,1.0,566,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,35.0,2,1.0,1.0,59,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,50.0,2,1.0,1.0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,48.0,3,2.0,1.0,293,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,50.0,1,1.0,1.0,123,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
