,price,accommodates,beds,bathrooms,number_of_reviews,rating,lat,lon,superhost,response_rate,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
0,49.0,2,1.0,1.0,554,4.5,40.82264063,-73.94040885,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,51.0,2,2.0,1.0,134,4.5,40.79153799,-73.94233066,0,90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,47.0,2,1.0,1.0,220,4.5,40.79956539,-73.96468014,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,53.0,2,2.0,1.0,78,4.0,40.79141642,-73.94664106,0,90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,33.0,2,1.0,1.0,33,4.0,40.78339282,-73.95168452,0,100%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,39.0,5,3.0,2.0,125,5.0,40.79439065,-73.94602446,1,97%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,50.0,6,3.0,1.0,183,4.5,40.79024434,-73.94063548,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,42.0,3,1.0,1.0,86,4.5,40.71279986,-73.98908878,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,34.0,4,2.0,1.0,262,4.5,40.81050363,-73.92507057,0,91%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,49.0,4,2.0,1.0,100,4.5,40.79391179,-73.94431554,1,97%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,31.0,2,1.0,1.0,2,0.0,40.78386115,-73.95339633,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,38.0,2,1.0,1.0,59,4.0,40.75779973,-73.99210893,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,49.0,3,3.0,2.0,107,5.0,40.79334488,-73.94568142,1,97%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,40.0,1,1.0,1.0,90,5.0,40.82902586,-73.9474686,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,50.0,1,1.0,1.0,17,4.5,40.76314617,-73.98918737,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,49.0,2,1.0,1.0,566,4.5,40.8208525,-73.94024603,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,35.0,2,1.0,1.0,59,4.0,40.75779973,-73.99210893,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,50.0,2,1.0,1.0,0,0.0,40.78828374,-73.94385289,1,no info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,48.0,3,2.0,1.0,293,4.5,40.79793551,-73.93223272,0,100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,50.0,1,1.0,1.0,123,4.5,40.76275261,-73.99525012,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,48.0,3,1.0,1.0,158,4.0,40.76860538,-73.93164956,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
